COMPANY,GMI,AQI,SGI,SGAI,LGVI,TATA,DEPI,ROL,ROC,Revenue,TOT_PROFIT_label,TOT_SIZE_ASSETS,year,label
0449DD9DA2,-8.266364559752647,1.5570346638971575,0.8231370797665968,1.260716297062845,1.045638863458852,0.4880772484861965,0.93,0.93,1574180542.8601034,18.55809110439437,1.0,23.208126351670213,2012,0
0469455C03,-0.09440495296256687,1.0704625333268565,0.7843801955088919,1.1441053145960962,1.0097810470943438,2.7194792395246403,0.8535475946324491,-0.07432728749329275,15990597999.280512,23.63880575829735,1.0,24.160679390593824,2012,1
04D622B53C,0.869258368295435,1.024341200970888,1.760744460437504,0.7277519332259212,0.8597850277730307,-11.29914840446414,0.7518764887897615,0.02261362421816124,20583857403.78352,20.99048787637321,1.0,23.851168042576713,2012,0
04D8AC34CD,0.7872874103689635,0.9503353154589926,1.316074996978196,0.8548434578259756,0.9697278190202498,0.7018310343220325,0.9797669388945176,0.1409474892817847,21328094476.49357,24.770291755294327,1.0,24.677656185057828,2012,0
04DA4A6D76,0.12784367767424418,0.90130469290022,1.021246439584618,1.1087829637671922,0.9264226764139004,-0.5708340250864178,1.2694099312373863,0.06618305452986599,11344837226.5319,24.21119152479577,1.0,24.07922015931777,2012,0
04F502A518,0.12161776840998545,0.9350354578665068,0.9814814814814816,1.0986665249712213,1.011964503868709,-4.417896140788637,1.0493328304969454,0.08715313880551323,57265118162.527374,25.792170039166642,1.0,25.51905638254315,2012,0
04F99DF793,0.5264212163521429,0.9929848576598334,1.1796407185628743,0.9317789935012238,0.9741132027665036,0.17215433049513568,1.2448258950290867,0.034848079769230024,47912970544.25962,26.006469565684398,1.0,24.80309631661467,2012,0
04H6B4E0FA,0.5287700211736264,1.0100774781651056,1.0179087336364094,1.1392275396700804,1.0251051639980926,4.587731250913109,0.6994877900466758,0.052858686518236817,17677337835.523285,24.696190062075445,1.0,24.265666770987696,2012,0
04H8B24746,0.3815432542831751,0.9545398011901609,0.9378606391705728,1.271189086488566,1.0530892098532916,1.0469667617311929,0.4450306459413142,0.040040249328529835,7673116545.651188,20.152311151095642,1.0,23.15623692657695,2012,0
04I94536B1,1.0899233453420218,0.7887807090669122,1.2256948091723383,1.188592145986833,1.5837356524004425,0.7176721044121673,0.6675963871828899,0.10995587845891587,3254801874.6966076,21.559359852721677,1.0,23.492987386960944,2012,0
04K4C4F99B,0.9440525884906268,1.0990455558882717,1.196893887585575,0.9662928064305212,0.9403473063572384,1.8609103248296144,0.9756111200625868,1.0336867924921358,22228052281.89313,23.84247680067771,1.0,25.03687367563743,2012,0
04L477480E,1.3633390601725115,1.0018929961599978,1.1468690577341822,0.9401002339761804,1.0510459967172252,0.7128924177100108,0.9467708092832208,0.1610031630935074,44026035203.66389,24.542143723307873,1.0,25.51905638254315,2012,0
04M571A459,1.2031072635547122,1.0088025833386187,1.2604069901747137,0.8747213077954378,1.0048417291443406,0.04000063480151007,0.8513741268342789,0.03941471243839995,26351973716.21579,24.147379100804773,1.0,24.303232828813467,2012,0
04MA24321F,14.246574474869895,0.8714961530210171,0.6934999171002572,1.3769232619392355,1.0725637729552535,3.4883994163308616,2.210448411705361,-0.04716008580450731,2376861412.559188,21.675929398292283,0.0,22.548204691495233,2012,0
04O55E2332,0.8665092378413978,0.9776021951468508,1.1067408224040725,1.2982921817564168,0.985938776694642,-3.6567642499855446,0.9933254570087152,0.07071159133306251,18940323970.412743,23.73235908305162,1.0,24.741359632947425,2012,0
04R6BE23E6,0.36488506935731096,0.9480622006886448,1.4722222222222223,0.6899881625646015,1.130542606479462,0.10098135296596,1.2194077020521952,0.11515344607740136,59176720572.51022,25.792170039166642,1.0,25.65051952210361,2012,0
04T60267C2,0.8319543378236363,0.8227927242317024,1.1058373865694389,1.1339913782016662,1.1916617672809755,-0.5081945769219574,0.8983026883284841,0.5342367266655718,2338680618.8568034,22.160717046333,1.0,23.68535773878323,2012,0
06144B3147,0.18397112918442973,16.591640014836866,7.469193550382737,0.93,0.93,1.0929677146381414,2.289459581495617,3.4331396776529424,1795915889.8890536,18.89896913645143,1.0,23.2297360572674,2012,0
06F86F60F1,1.0361312468719404,1.0074458445903955,1.1630831334155671,1.0945015331837786,1.0563811674932144,0.15355583899752434,0.93,0.93,7548585939.483634,23.71572679136588,1.0,23.09794253291607,2012,0
06G7DBBE14,0.7758152607248241,1.0800288990849658,1.1742341058940522,0.93,0.9658818558401552,1.4362854646767396,0.932219075191912,0.3650916556531198,4713189889.870926,22.258962262831968,1.0,24.04933658946147,2012,0
06H7C7BBF3,1.052221959208418,1.0435912752982672,1.1666370031153437,0.941810979245828,0.9572284318933744,0.6890569708905419,0.8258420723210486,0.06732584889419528,21987648499.59156,24.1711773018793,1.0,24.604464446629105,2012,0
06H89EC4A0,1.2460120258093157,0.8866347254120693,1.4035571301440188,0.8716960439536341,0.9559930935288052,-13.652519115335476,0.8487868029506629,0.03528920335583989,7373550051.630382,22.252498523001524,1.0,23.65244281052421,2012,0
06L91D87B8,9.22754352755341,1.016524135150961,0.4429208138468196,1.3165572283670557,0.9600011184606664,1.4154113102520425,0.7703254892521809,0.01265829602416271,10999460688.50818,23.27242681006974,1.0,23.984656034411678,2012,0
06N93ED772,1.2870605919527296,1.0281800895985267,1.0003023839559189,0.7431639793497857,0.9586691928415184,0.4487779490483119,1.0622761289612859,-0.023435685658355618,25087911968.535007,24.50381464653181,0.0,24.840125267071386,2012,1
06O4E1BB3A,0.7664615477515078,1.0010852281718101,1.2447358662060126,1.1703157508012407,0.992447014379772,1.1582087959976357,0.966583441264163,0.03527984821204038,24010563596.717842,22.10381823902641,1.0,24.37740645111182,2012,0
06Q5933A3A,1.609730841622838,0.9773020067635276,1.0910010916164032,0.9414127879029712,1.0942538607262104,1.2042027090799212,1.3061081821517464,0.07075644037794676,6504588346.732314,22.81475222496941,0.0,24.620072599686594,2012,0
06Q89905F0,0.7968892227540256,0.9241010819508221,0.9293737228564192,1.0712698508932978,0.9624451103581652,3.308006736137868,1.0796305456480493,0.14214766605772286,9227053424.713491,23.94604451639976,1.0,23.90269448688,2012,0
