COMPANY,LESS_FIN_EXP,LESS_GERL_ADMIN_EXP,LESS_NON_OPER_EXP,LESS_OPER_COST,LESS_SELLING_DIST_EXP,OPER_PROFIT,PLUS_NON_OPER_REV,TOT_OPER_REV,TOT_PROFIT,ACCT_PAYABLE,ACCT_RCV,ADV_FROM_CUST,BONDS_PAYABLE,CONST_IN_PROG,DVD_RCV,FIN_ASSETS_AVAIL_FOR_SALE,FIX_ASSETS,INT_RCV,INVEST_REAL_ESTATE,LT_BORROW,LT_PAYABLE,MONETARY_CAP,NON_CUR_LIAB_DUE_WITHIN_1Y,NOTES_PAYABLE,NOTES_RCV,OIL_AND_NATURAL_GAS_ASSETS,OTH_PAYABLE,OTH_RCV,PRODUCTIVE_BIO_ASSETS,PROJ_MATL,ST_BORROW,TOT_ASSETS,TOT_CUR_ASSETS,TOT_CUR_LIAB,TOT_LIAB,TRADABLE_FIN_ASSETS,AMORT_INTANG_ASSETS,DEPR_FA_COGA_DPBA,NET_CASH_FLOWS_FNC_ACT,NET_CASH_FLOWS_INV_ACT,NET_CASH_FLOWS_OPER_ACT,free_cash_flow
0PH88221AE,771296000,3455516000,50257000,40438789000,1799757000,1410351000,367390000,48826919000,1727484000,8832401000,5487732000,1870520000,994255000,9190558000,7875000,15192000,21532825000,,,6084992000,,4048446000,1330700000,8403533000,4319314000,,1629189000,334063000,,4308315000,10011122000,65624392000,21424455000,33370934000,41644256000,,245562000,2515718000,4736027000,-8922719000,5984526000,-2653450824
0xP590719E,1421792644,2512255930,34948772.2,32407661482,2457887083,542132859.2,495963917.4,39565708899,1003148004,6921686053,5042073543,4007156138,7967767000,4157463358,,,10062564832,55106813.18,402928410.1,4720861818,278300565,17484355174,2720286192,4288800090,8971148698,,2883591702,687751570.9,,,18438954200,75443936170,55226236504,39468952380,53559525336,5221089,209037216.6,925291055.5,2240654295,-3372755930,-5152339075,805374319.5
3I5A6D457B,3351155052,14312730685,298155367,2.12E+11,24077404579,27508905715,1539921083,2.81E+11,28750671431,53479943301,23607007360,12274011549,47584361876,33388418019,424745084,10053822473,1.26E+11,308653810,20631938707,93527248530,2774549459,72321888126,60245605490,1872019217,4297133531,,57952844755,20344812788,,,14230564973,5.92E+11,2.95E+11,2.50E+11,3.98E+11,307721773,717168890,11151757292,45801067173,-48125118258,20104794036,-22991034012
4J776639F6,-23638755.4,55187793.79,183850,722543357.1,104704880.1,227559365.6,4589820.23,1099608392,231965335.8,34411884.81,147374334.1,38585436.21,,31837412.25,,,75720221.1,,,,,1287524798,,243375309.6,,,3311394.16,2620405.82,,,35000000,2162479489,2012101307,377991081.4,377991081.4,,867924.71,5111078.85,-182318967.1,-179376231.3,11520759.96,-20879907.31
GiMghXMZc4,18993034.24,41226051.65,,263530838.9,,-11296722.19,133970332.9,324153562.1,122673610.7,2247529,,,,1987847061,,,11809296.38,,,2185000000,,402391047.8,624000000,,,,957295485.9,448911988.9,,,,7519477045,5508038220,1589297810,3921297810,,,1304392.57,1704942710,-804073978.7,-1180415023,-2653903314
bRGcrTCypf,16162856.17,161070952.4,575526.2,477128615.8,4149559.19,-115993004.7,197261892.8,548125167.4,80693361.92,62051480.43,89625601.13,35273018.44,1042241667,4981988680,,,653806681.7,,,8071464238,,2423965798,,,16350000,,3768907564,226991506.7,,7163201.01,194899896.1,17562024263,6825707798,4181906523,13601017564,,52668529.08,33813757.8,1622402591,-2468891448,1392008584,-5600689483
1600106,191654513.1,15924732.68,500386.5,35298023.53,,393260922.5,412735.2,398384086.5,393173271.2,85844299.66,94204439.07,113497400,,,,83386522.99,382636502.6,,,2857830000,,858186335.8,318000000,,,,260667673.9,11828798.05,,,50000000,5638047913,1214264172,864557866.8,3751624707,29674657.18,1005745.68,14844647.73,-774789311.7,133006369.1,462559429.5,810740838.5
2008251,276305102.1,1565728297,92378114.68,8876566134,220178654,1539293944,117283596.4,13054045371,1564199425,886570472.4,312362768.2,364898000.9,1398545396,905983459.4,7692379.88,12600146.16,4955598266,,132784980.1,860983843.5,23527821.37,3012125766,95341196.91,187660630.2,430637755.3,,880017031.9,430108502.4,,10491078.78,1656192829,13500735291,5486387753,4992505098,7390064438,10918379.9,29965592.8,577089027,624726367.1,-1659529013,3082254200,-1467976030
lgrzE1YOkB,-69039.09,12688309.11,248856,71723225.67,,174628833.6,21325.43,273690849.4,234401303,101103.3,121332816.7,14571700,,1656358203,,,1454699455,,,470240000,,291801077.6,,,,,323048140.4,1491020166,,,,6938546063,3713727842,625866541.3,1105155542,,,16306938.72,-76635007.41,-450968741.2,556428035.9,-182513829.4
1A93D6DBEA,65658987.12,155895582,2920952.85,1189867191,42896816.18,42271657.52,22459701.9,1544368212,61810406.57,383419022.5,517655339.2,281689210.8,99211199.71,35746846.84,,,628803872.2,,,62000000,,519877314.6,68000000,263235731.2,120282667.1,,192510927.4,53611635.54,,,843396232.9,3011632200,2112391159,2064021179,2282104298,,7706050.42,50395367.82,198463025.4,-166851574.2,8339520.75,-100714262.2
1610F5,-129458.65,645856.59,,256150000,,47818375.37,75000000,307380000,122818375.4,28728444.72,356243600,19062900,,802846695.4,,,24222716.9,,,1505400000,61272156.2,718368432.4,,,,,127705892.9,16113163.76,,,,6146129691,1678562714,206833012.6,2154306532,,,173032.32,672013173.7,-617137332.2,-43030213.93,-748024780
Jihl9dnYfG,6870651.1,9983201.98,,210264820.5,7437058.09,57563430.52,7000,291730755.7,60342507,19997684.84,95362078.69,65000,,,,,99186677.5,,,50000000,,129357748.5,,116000000,50500000,,72000,33837258.96,,,126900000,576302240.2,475282305.7,264668964,314668964,,30244.32,3550790,105079348.9,-7384510.14,3309102.54,-41296221.68
169376A04D,-163934.16,1158093.28,,328736270.3,,62255100,76383356.77,394258389.9,138638456.8,10836.11,467852085.5,,,,,,22044340.28,,5827354.52,633750000,,64983223.39,89300000,,500000,,23140425.21,130088278.3,,,,5089190145,5054448347,146742458.9,780492458.9,,5213.88,1617934.17,72106304.47,-221305,-63690002.8,-4783370384
F4z4qoM1Qa,,,,,,,,15630260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600881,767363853.4,845890378.6,46647060.88,7935950184,613190962,1289007038,225798887.6,11699819781,1468158864,1920305112,625122691.4,1383323334,3367368219,977838181.9,,2748000,10034304730,12600000,,1328324481,1033112102,5442699767,820774533.7,2381000000,343079282,,1046611095,1094481904,,35153301.76,9553404200,33976703391,17645217478,17367653472,23190589285,,33904597.87,643858812.9,2101356580,-1500458735,1516417346,-1113667268
48N64583B4,64732494.86,137042152.8,574850.82,433790016.3,71291598.67,187251707.5,16268604.02,909574143.2,202945460.7,134391711.9,147423508.1,102864020.9,,102779945.4,,,401412356.5,,24741926.52,,,607469915.2,400000000,,,,964914167.3,176590556.3,,,1561500000,5372746029,4325404095,3332217846,3333007846,,483167.43,79841770.91,922457625.8,-286072334.4,-503907685,-8633673.532
N2D96uFtjF,24383384.42,19960865.98,2936.16,1116593787,17366163.93,138022977.5,1373785,1317943067,139393826.4,35038126.88,213863048.3,2411258.25,,84565157.64,,,393687617.5,,,260000000,,227757999.5,,10000000,31244573.45,,11124661.98,13897465.76,,,345000000,1234125108,705503545.1,412544347.3,672544347.3,,,,159867470.2,-51246976.09,-10654179.69,159511677.2
3GFGZ2qor4,46457271.99,85982198.7,2543208.33,1994581332,35785610.75,220320595.5,2894477.05,2396042720,220671864.2,336622000,254752500,34301200,,105431100,,,1560784600,,,112500000,,123318500,37500000,230269500,94515200,,794011500,2889500,,,301000000,2452640500,738132800,1747095000,1859595000,,1209647.34,150431674.1,125379755.6,-421648512.2,311604373.8,238009768.2
1000026,65207111.38,196332602.1,656990.26,1658959419,433763804.4,186685808.6,5550160.44,2561054602,191578978.8,191460941.6,268900768.4,3740327.89,,249000,,,162646929.1,,272490648.6,57030567.09,,169627302,149600000,,,,32998587.03,32918996.43,,,980107000,2895775774,2212237157,1442511756,1502020717,,916530.23,24788287.01,197478222.1,-231690012.5,-409490794.6,298188962.5
1600770,57755742.56,134275854.3,139100.55,946120363.3,17553625.4,550608686.4,110258139.1,1181245104,660727724.9,142396111.9,650259448.6,28567232.04,692066667,747093968.3,,1399629783,571622020.6,,24295088.91,108900000,,1502512503,88050000,61658719.92,89000,,38884747.62,72946424.04,,,613018000,6829391131,3307276513,914685847.6,2066363504,,3872825.79,53127335.35,2006855185,-554482698,-1067799041,-1072313593
16R58EC6BF,351134623.9,2549908034,182937835.2,16768847295,14961645.58,2071691281,120204506.3,22109995356,2008957952,4273776721,3935404231,1435517794,5080016667,31846514017,1245965.67,233868719.1,25087944664,7914361.78,,17772385986,756958.15,6777878540,2014223880,912223628.2,773651026.3,,6899208316,2535097344,,2272050.44,2314548403,89999985046,17608561839,21254814709,55534431515,,177141976.4,1230913790,5105833466,-6284500909,592193568.6,3529618343
bQMDUxV1FD,6314860.15,28994345.55,43543.35,822624796,38024003.12,47905244.97,20527.48,943815920.4,47882229.1,2988953.63,72182762.3,,40000000,,,,86306898.95,,,,,72597353.48,,40000000,,,-626995.11,14959644.12,,,75000000,647333510,453935777.7,116995871.9,156995871.9,,914133.31,9032676.15,15780862.74,-2278081.92,7107141.78,-33401974.63
0eQRdggoAx,971101.09,8808208.37,,203035128,3000,159717034.8,111000.09,376267382.4,159828034.9,520923.12,760828988.8,126666.67,,3785669414,,,281228371.7,,,1902000000,,120202214.4,,,,,36743298.72,50367717.97,,,,5086696414,983846255.1,48010100,1950010100,,399706.95,7267785.85,-35073008,-320997792.6,17136596.27,-90396619.03
ggzJB1Rrzr,-4979554.56,90109205.1,60687.34,6648630236,,996700316.2,20000,7816850202,996659628.9,121324738.8,1234696433,440000,,140144173.7,,,17787882.43,,,11500000000,,3560667830,,,,,5723372084,91737290.84,,,,48112881507,47931792773,6215754868,17715754868,,1083598.23,2909706.57,11675646750,-124927525.3,-9974342786,-12090855204
3IE62A8286,1025270.04,16166266.79,50057.5,84968176.25,15041369.55,22628519.01,1364320,142017857.5,23942781.51,15649292.17,31562923.08,26907776.92,24151350,80000,,,28050843.28,,,,,13060487.51,,,6194300,,6924345.03,16997219.66,,,,178302185.4,132470552,52072936.83,83408378.06,2000000,8495055.06,4323363.94,,-6374243,-7076202.69,5187804.897
2012101,764405845.6,1808879669,12408552.24,9226379940,366676287.6,7222465030,99102730.73,15789741723,7309159208,,,,,,,,,,,,,,,,,,,,,,,,,,,,283202630.5,244974491.5,2618145774,-1461405537,-4862965523,6214979902
Y00vkjS4DA,1327939.11,1402563.29,1506.69,9522703.68,304808.08,15147094.21,,29413358.25,15145587.52,7612587.6,35640,,,93712917.2,,,66633.16,,,20000000,,378491.54,,,,,62906580.78,17434219.1,,,,111670030.7,17848350.64,76293368.95,96293368.95,,,,3667336.67,-43802,-3721461.11,70363995.66
