COMPANY,LESS_FIN_EXP,LESS_GERL_ADMIN_EXP,LESS_NON_OPER_EXP,LESS_OPER_COST,LESS_SELLING_DIST_EXP,OPER_PROFIT,PLUS_NON_OPER_REV,TOT_OPER_REV,TOT_PROFIT,ACCT_PAYABLE,ACCT_RCV,ADV_FROM_CUST,BONDS_PAYABLE,CONST_IN_PROG,DVD_RCV,FIN_ASSETS_AVAIL_FOR_SALE,FIX_ASSETS,INT_RCV,INVENTORIES,INVEST_REAL_ESTATE,LT_BORROW,LT_PAYABLE,MONETARY_CAP,NON_CUR_LIAB_DUE_WITHIN_1Y,NOTES_PAYABLE,NOTES_RCV,OIL_AND_NATURAL_GAS_ASSETS,OTH_PAYABLE,OTH_RCV,PRODUCTIVE_BIO_ASSETS,PROJ_MATL,ST_BORROW,TOT_ASSETS,TOT_CUR_ASSETS,TOT_CUR_LIAB,TOT_LIAB,TRADABLE_FIN_ASSETS,AMORT_INTANG_ASSETS,DEPR_FA_COGA_DPBA,NET_CASH_FLOWS_FNC_ACT,NET_CASH_FLOWS_INV_ACT,NET_CASH_FLOWS_OPER_ACT,OTHER_CASH_RECP_RAL_FNC_ACT,STOT_CASH_INFLOWS_INV_ACT,STOT_CASH_OUTFLOWS_INV_ACT,free_cash_flow
2AF4DC0EBC,7117419.09,10479594,,190530549.5,10473823.99,31582426.29,1014845.38,254535933.3,32597271.67,61207151.02,204109789.1,30705493.26,,,,,43200488.29,,121602882.4,,,,20788883.86,,,8926010,,205761.96,12343439.81,,,85000000,451311680,396167105.8,182137915.9,183830021.5,,203396.88,1346211.79,43298916.68,-1117796.96,-48437706.93,,13079.27,1130876.23,-42304406.93
fgK8oZEcM3,22721066.06,34692725.82,3700807.45,1015247840,116981.1,8965888.62,149125491.2,1059797342,154390572.4,847333304.1,1414511561,105785643,900000000,1822696191,,339000000,21213696.86,,8428198687,1703895944,4368215000,,447512593.3,1860400000,,,,1539178226,834351736.3,,,79000000,15786855795,11222714597,4488642528,9762811528,,1989925.7,49361901.28,-258125964.8,-321199076.6,751432319.7,,110058687.4,431257764,-113106572.2
502033471,5781306000,4306807000,180581000,1.40E+11,1753234000,-16817554000,1023612000,1.42E+11,-15974523000,10514248000,2979611000,2697439000,18235831000,10269333000,125159000,74850000,83651644000,103060000,22441448000,,25373482000,1931192000,17932190000,11431220000,5234103000,2332964000,,7560534000,6733911000,,111398000,40792689000,1.93E+11,63474383000,1.04E+11,1.53E+11,120901000,371907000,6955395000,-3970741000,-4921338000,13773049000,1894797000,9173414000,14094752000,-4936369624
06G7DBBE14,462169532.4,582535854.6,18931046.3,6567561921,3741535.2,459660164.5,355153011.2,7942456229,795882129.5,374676495.9,837441400.5,357410117,4971625629,1555093364,18644275.34,233428161.1,14766393409,13218167.09,965168857.5,681660029,2827010024,59886723.51,2440913405,553387648.4,12714000,90865505.13,,669983218.1,436938098.7,,,907302821.3,27844050860,5878715559,4332730714,12865173626,15445634.6,40281693.19,704594932.8,-685844619.6,-72936600.95,829134676.2,11346926.61,2297617933,2370554534,-1163015259
JS9MOvDh7l,-10064084.57,202053614.9,4080134.49,971597550.7,122982364.4,146080663.7,89163305.63,1394458357,231163834.9,142870680.4,95553797.75,124798109,,808026831.8,,385153587.6,358295864.4,6987512.02,142765069.3,195458852.4,,19683.62,473458404.7,,28811477.1,340947,,110750225.7,22352482.16,,,150000000,3119081443,782717875.4,460381816,460401499.6,24878710.81,1484368.62,49643163.61,151000000,-515456123.8,230767713.5,,63279209.4,578735333.2,260663814.9
2fP8F49017,54079462.06,46638560.84,2124999.57,536668801.1,10009468.68,160537164.6,656101.38,725965311.2,159068266.4,30118445.2,485980944,805409.83,411344662.4,152049359.1,12147085.2,123306800,252563181,,84580277.75,120263685.7,,9957894.32,185952569.1,,61000000,,,478654568.3,2447570199,,,142305000,4705213276,3647551671,853916705.6,1483880560,,856622.07,13472827.52,5574927.69,-44806361,-37271747.42,47505666.34,75192684.98,119999046,269403113.3
EACWCaIUDB,37737137.6,14521261.01,82857.39,393029819.2,,76395421.13,60055934.46,534760134.8,136368498.2,6470893.62,201913445.1,,,,,,2460485.48,,2558633644,413157600,226000000,,140879178.1,128000000,45000000,,,94912545.97,424810446.9,,,95000000,3743934585,3326236714,430815585.6,678626392.8,,,800043.41,414975888.3,-800043.41,-387500485.7,203129994.2,,800043.41,-2757127986
751107597,-323308.71,3132625.15,,608525909.6,,58252674.13,85047887.98,686996373.5,143300562.1,47258228.02,115163076.1,,,,,5000000,33646771.72,,5366946594,,268600000,,16878902.78,83800000,,,,84261886.25,22348020.18,,,200000000,5598490935,5559844164,447773967.3,716373967.3,,,1469460.53,-73800000,687614.01,66727895.63,,687614.01,,-244937831.4
EBA35C34,24202242.55,238673255.5,32320617.6,2657741290,280598578.5,389315390.3,10855122.9,3304181427,367849895.6,426392513.2,786411582.2,1032987475,,168861060.1,,616447008.1,1024702738,483333.34,3524430094,13943911.26,310500000,,711342619.9,173087500,835393000,1506700.56,,148689255.7,220747726.7,,,1472945789,8818063328,6625258728,4755245006,5096729519,154516381.5,,,-277306034,527633811.8,-75545059.79,69401284.05,2525465066,1997831254,-1809691960
OjzbTIKGDp,84063848.22,431110445,29653087.41,26068666971,578756303.9,693562131.3,125685286.9,27850239490,789594330.8,1509632685,655165771.6,1325859666,1196093333,87854830.91,480000,742854181.9,640010948,23303284.93,5645185887,30415430.1,721374414.5,33033177.16,3387702738,449978127.1,3209956452,174148884.7,,1440587491,2252639342,,,1671091477,16079512418,14105454109,10352883201,12350989981,46856880.86,,,38673985.54,-413807618.2,340348208.5,299399911.9,514724648.9,928532267.1,-341508144.4
0LU476B479,,,,,,,,606864120,,,,,,,,,,,,,,,,,,,,,,,,,677266595.9,,,380073660,,,,,,,,,,
